,Variable Tag,Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,Unnamed: 25,innings played.1,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Best innings bowling,Bowling average,Bowling econ,sr,4w,5w,10 wicket hauls,Retained,matches_bat_ipl,total_runs_scored_ipl,balls_faced_ipl,batting_avg_ipl,highest_score_ipl,strike_rate_ipl,centuries_ipl,half_centuries_ipl,fours_ipl,sixes_ipl,matches_bowl_ipl,balls_bowled_ipl,total_runs_given_ipl,wickets_taken_ipl,bowling_avg_ipl,economy_ipl,3wickets_ipl
76,77.0,0.0,0.0,0,Pragyan Ojha,India,Deccan Chargers,500000.0,67.0,19.0,10.0,32.0,11*,0.0,0.0,3.55,35.0,91.42,0.0,0.0,0.0,2.0,0.19402985074626866,13.0,0.0,,66,1.0,1411,1638,1.0,83,2021-04-01 00:00:00,19.73,6.96,17,1,0,0,0,3.0,3.0,8.0,1.0,2.0,41.66666666666667,0.0,0.0,0.0,0.0,16.0,360.0,418.0,22.0,26.125,7.066760887377306,1.0
77,78.0,0.0,0.0,0,Rahul Dravid,India,Rajasthan Royals,500000.0,66.0,59.0,6.0,1530.0,75*,0.0,1.0,28.86,1303.0,117.42,0.0,7.0,174.0,22.0,0.19696969696969696,13.0,0.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,11.0,256.0,203.0,23.272727272727273,52.0,125.02508854781583,0.0,1.0,34.0,3.0,0.0,0.0,0.0,0.0,,,0.0
78,79.0,0.0,0.0,0,RP Singh,India,Kochi,500000.0,78.0,36.0,17.0,93.0,18,0.0,0.0,4.89,113.0,82.3,0.0,0.0,4.0,2.0,0.38461538461538464,30.0,0.0,,77,1.0,1704,2129,1.0,92,2011-08-05 00:00:00,23.14,7.49,18.5,3,1,0,0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,21.0,37.0,0.0,37.0,10.571428571428571,0.0
79,80.0,1.0,0.0,1,Daniel Vettori,New Zealand,Royal Challengers Bangalore,550000.0,70.0,47.0,14.0,692.0,57,0.0,1.0,20.96,578.0,119.72,0.0,1.0,59.0,14.0,0.37142857142857144,26.0,0.0,,70,1.0,1592,1632,1.0,79,2020-04-01 00:00:00,20.65,6.15,20.1,1,0,0,0,3.0,33.0,28.0,11.0,19.0,111.0644257703081,0.0,0.0,4.0,0.0,3.0,72.0,95.0,3.0,31.666666666666668,7.914202898550724,0.0
80,81.0,0.0,0.0,1,Dirk Nannes,Australia,Royal Challengers Bangalore,650000.0,117.0,17.0,12.0,42.0,12*,0.0,0.0,8.4,47.0,89.36,0.0,0.0,3.0,1.0,0.1452991452991453,17.0,0.0,,115,1.0,2566,3022,1.0,153,1940-05-01 00:00:00,19.75,7.06,16.7,5,1,0,0,2.0,4.0,13.0,2.0,3.0,38.63636363636363,0.0,0.0,0.0,0.0,9.0,218.0,209.0,11.0,23.22222222222222,5.773571613571614,0.0
81,82.0,0.0,0.0,1,Kevin Pietersen,England,Deccan Chargers,650000.0,62.0,61.0,7.0,1733.0,79,1.0,1.0,32.09,1249.0,138.75,0.0,9.0,171.0,50.0,0.3870967741935484,24.0,0.0,,23,0.0,324,425,0.0,17,1933-03-01 00:00:00,25.0,7.87,19,0,0,0,0,7.0,236.0,159.0,33.714285714285715,66.0,143.56684506833585,0.0,2.0,23.0,8.0,6.0,60.0,77.0,3.0,12.833333333333334,8.166666666666666,0.0
82,83.0,0.0,1.0,1,Tillakaratne Dilshan,Sri Lanka,Royal Challengers Bangalore,650000.0,88.0,85.0,11.0,1873.0,96*,0.0,1.0,25.31,1556.0,120.37,0.0,13.0,222.0,40.0,0.4318181818181818,38.0,3.0,,43,0.0,505,599,0.0,18,2023-03-01 00:00:00,33.27,7.11,28,0,0,0,0,6.0,44.0,55.0,7.333333333333333,17.0,56.794871794871796,0.0,0.0,6.0,0.0,4.0,49.0,70.0,3.0,17.5,9.899038461538462,0.0
83,84.0,0.0,0.0,0,Cheteshwar Pujara,India,Royal Challengers Bangalore,700000.0,25.0,17.0,3.0,304.0,45*,0.0,1.0,21.71,272.0,111.76,0.0,0.0,35.0,5.0,0.4,10.0,0.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,6.0,122.0,119.0,20.333333333333332,45.0,103.92328042328043,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,,,0.0
84,85.0,0.0,0.0,1,Doug Bollinger,Australia,Chennai Super Kings,700000.0,48.0,4.0,3.0,23.0,16*,0.0,0.0,23.0,23.0,100.0,0.0,0.0,2.0,1.0,0.2708333333333333,13.0,0.0,,47,1.0,1016,1249,0.0,54,2013-04-01 00:00:00,23.12,7.37,18.8,1,0,0,0,2.0,18.0,17.0,9.0,16.0,90.47619047619047,0.0,0.0,1.0,1.0,8.0,193.0,199.0,13.0,24.875,6.24625,1.0
85,86.0,1.0,1.0,1,Kumar Sangakkara,Sri Lanka,Deccan Chargers,700000.0,95.0,91.0,7.0,2583.0,94,1.0,1.0,30.75,2028.0,127.36,0.0,17.0,293.0,44.0,0.631578947368421,60.0,24.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,12.0,357.0,260.0,29.75,56.0,130.8843569428247,0.0,2.0,47.0,5.0,0.0,0.0,0.0,0.0,,,0.0
86,87.0,0.0,0.0,0,Munaf Patel,India,Mumbai Indians,700000.0,48.0,10.0,5.0,37.0,23*,0.0,0.0,7.4,33.0,112.12,0.0,0.0,5.0,0.0,0.20833333333333334,10.0,0.0,,48,1.0,997,1219,0.0,57,2021-05-01 00:00:00,21.38,7.33,17.4,0,1,0,0,2.0,4.0,5.0,2.0,4.0,66.66666666666666,0.0,0.0,0.0,0.0,4.0,78.0,118.0,5.0,29.5,8.9375,0.0
87,88.0,0.0,0.0,0,Venugopal Rao,India,Delhi Daredevils,700000.0,61.0,55.0,8.0,1072.0,71*,0.0,1.0,22.8,875.0,122.51,0.0,6.0,80.0,41.0,0.2459016393442623,15.0,0.0,,21,0.0,282,406,0.0,8,2023-02-01 00:00:00,50.75,8.63,35.2,0,0,0,0,4.0,34.0,44.0,8.5,24.0,62.5,0.0,0.0,3.0,1.0,1.0,6.0,10.0,0.0,10.0,10.0,0.0
88,89.0,0.0,0.0,1,David Warner,Australia,Delhi Daredevils,750000.0,105.0,105.0,5.0,2836.0,107*,0.0,1.0,28.36,2034.0,139.42,1.0,18.0,296.0,114.0,0.42857142857142855,45.0,0.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,11.0,282.0,195.0,25.636363636363637,107.0,109.32277318640955,1.0,2.0,27.0,14.0,0.0,0.0,0.0,0.0,,,0.0
89,90.0,0.0,0.0,0,Abhishek Nayar,India,Kings XI Punjab,800000.0,46.0,38.0,8.0,653.0,57,0.0,1.0,21.76,522.0,125.09,0.0,1.0,54.0,25.0,0.2826086956521739,13.0,0.0,,19,0.0,241,348,0.0,9,2013-03-01 00:00:00,38.66,8.66,26.7,0,0,0,0,3.0,58.0,51.0,19.333333333333332,27.0,118.21326821326821,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,,,0.0
90,91.0,0.0,0.0,0,Praveen Kumar,India,Kings XI Punjab,800000.0,69.0,38.0,12.0,342.0,76*,0.0,1.0,13.15,283.0,120.84,0.0,1.0,27.0,17.0,0.13043478260869565,9.0,0.0,,69,1.0,1462,1853,0.0,61,2018-03-01 00:00:00,30.37,7.6,23.9,0,0,0,0,3.0,4.0,8.0,1.3333333333333333,3.0,36.66666666666667,0.0,0.0,0.0,0.0,12.0,288.0,358.0,12.0,29.833333333333332,7.60114292140608,1.0
91,92.0,0.0,0.0,1,Andrew Symonds,Australia,Mumbai Indians,850000.0,89.0,81.0,18.0,2115.0,117*,1.0,1.0,33.57,1422.0,148.73,2.0,12.0,190.0,83.0,0.47191011235955055,42.0,0.0,,74,1.0,1225,1641,0.0,52,2018-05-01 00:00:00,31.55,8.03,23.5,0,1,0,0,16.0,429.0,356.0,26.8125,54.0,105.25253656367785,0.0,4.0,35.0,18.0,16.0,325.0,365.0,13.0,22.8125,6.779552968960864,1.0
92,93.0,0.0,0.0,0,Ashish Nehra,India,Pune Warriors,850000.0,42.0,11.0,6.0,49.0,22*,0.0,0.0,9.8,50.0,98.0,0.0,0.0,3.0,3.0,0.35714285714285715,15.0,0.0,,42,1.0,906,1130,0.0,50,2013-03-01 00:00:00,22.6,7.48,18.1,0,0,0,0,2.0,23.0,20.0,11.5,22.0,81.25,0.0,0.0,2.0,1.0,4.0,85.0,95.0,6.0,23.75,6.365,1.0
93,94.0,0.0,0.0,0,R Ashwin,India,Chennai Super Kings,850000.0,52.0,15.0,5.0,52.0,11*,0.0,0.0,5.2,73.0,71.23,0.0,0.0,4.0,0.0,0.2692307692307692,14.0,0.0,,51,1.0,1176,1232,0.0,67,2018-04-01 00:00:00,18.38,6.28,17.5,1,0,0,0,6.0,30.0,40.0,5.0,11.0,66.58119658119658,0.0,0.0,2.0,0.0,12.0,297.0,284.0,14.0,23.666666666666668,5.7558974358974355,1.0
94,95.0,0.0,0.0,0,S Badrinath,India,Chennai Super Kings,850000.0,83.0,68.0,21.0,1525.0,71*,1.0,1.0,32.44,1285.0,118.67,0.0,12.0,149.0,36.0,0.21686746987951808,18.0,0.0,,2,0.0,18,22,0.0,1,2016-01-01 00:00:00,22.0,7.33,18,0,0,0,0,15.0,356.0,310.0,23.733333333333334,55.0,117.75224253443832,0.0,2.0,41.0,5.0,0.0,0.0,0.0,0.0,,,0.0
95,96.0,1.0,1.0,1,Adam Gilchrist,Australia,Kings XI Punjab,900000.0,82.0,82.0,2.0,2156.0,109*,0.0,1.0,26.95,1497.0,144.02,3.0,11.0,234.0,110.0,0.6951219512195121,57.0,22.0,,-,0.0,-,-,0.0,-,-,0.0,-,-,-,-,-,0,16.0,289.0,200.0,18.0625,54.0,122.57974664224665,0.0,1.0,31.0,16.0,0.0,0.0,0.0,0.0,,,0.0
96,97.0,0.0,0.0,1,Daniel Christian,Australia,Deccan Chargers,900000.0,64.0,53.0,13.0,692.0,54,0.0,1.0,17.3,525.0,131.8,0.0,1.0,35.0,32.0,0.421875,27.0,0.0,,55,1.0,1069,1423,0.0,59,2023-04-01 00:00:00,24.11,7.98,18.1,3,0,0,0,,,,,,,,,,,,,,,,,
97,98.0,0.0,1.0,0,Dinesh Karthik,India,Kings XI Punjab,900000.0,86.0,75.0,15.0,1466.0,90*,0.0,1.0,24.43,1157.0,126.7,0.0,6.0,147.0,36.0,0.6162790697674418,53.0,21.0,,1,0.0,12,10,0.0,1,2011-10-01 00:00:00,10.0,5,12,0,0,0,0,14.0,278.0,242.0,19.857142857142858,69.0,108.38875901237688,0.0,1.0,26.0,6.0,0.0,0.0,0.0,0.0,,,0.0
98,99.0,0.0,0.0,1,Kieron Pollard (retained),West Indies,Mumbai Indians,900000.0,112.0,97.0,21.0,1990.0,89*,0.0,1.0,26.18,1222.0,162.84,0.0,9.0,128.0,137.0,0.45535714285714285,51.0,0.0,,97,1.0,1700,2242,1.0,107,2015-04-01 00:00:00,20.95,7.91,15.8,2,0,0,1,14.0,273.0,152.0,19.5,45.0,171.08373038824166,0.0,0.0,23.0,17.0,12.0,233.0,263.0,17.0,21.916666666666668,7.326173178673179,2.0
99,100.0,0.0,0.0,0,M Vijay (retained),India,Chennai Super Kings,900000.0,61.0,59.0,2.0,1598.0,127,0.0,1.0,28.03,1243.0,128.55,1.0,9.0,127.0,73.0,0.4262295081967213,26.0,0.0,,1,0.0,6,4,0.0,0,-,0.0,4,-,0,0,0,1,15.0,458.0,305.0,30.533333333333335,127.0,126.12215645997773,1.0,3.0,36.0,26.0,0.0,0.0,0.0,0.0,,,0.0
100,101.0,0.0,0.0,0,Piyush Chawla,India,Kings XI Punjab,900000.0,72.0,41.0,14.0,396.0,33,0.0,1.0,14.66,349.0,113.46,0.0,0.0,35.0,10.0,0.2916666666666667,21.0,0.0,,72,1.0,1475,1838,1.0,75,2017-04-01 00:00:00,24.5,7.47,19.6,1,0,0,0,6.0,62.0,63.0,10.333333333333334,22.0,108.30433455433457,0.0,0.0,7.0,0.0,14.0,296.0,361.0,13.0,25.785714285714285,7.668070175438596,1.0
101,102.0,0.0,0.0,0,Sreesanth,India,Kochi,900000.0,53.0,17.0,10.0,72.0,19*,0.0,0.0,10.28,91.0,79.12,0.0,0.0,13.0,0.0,0.16981132075471697,9.0,0.0,,52,1.0,1062,1476,0.0,45,2029-03-01 00:00:00,32.8,8.33,23.6,0,0,0,0,3.0,27.0,22.0,9.0,15.0,113.33333333333333,0.0,0.0,5.0,0.0,6.0,128.0,173.0,5.0,28.833333333333332,7.876717485413137,0.0
102,103.0,0.0,0.0,0,Zaheer Khan,India,Royal Challengers Bangalore,900000.0,75.0,33.0,18.0,157.0,26,0.0,0.0,10.46,160.0,98.12,0.0,0.0,15.0,2.0,0.24,18.0,0.0,,75,1.0,1668,2148,0.0,75,2019-04-01 00:00:00,28.64,7.72,22.2,1,0,0,0,3.0,24.0,13.0,8.0,23.0,96.29629629629629,0.0,0.0,3.0,1.0,14.0,295.0,371.0,18.0,26.5,7.700219780219781,3.0
